BR_code,date_time,avg_leaf_temp,env_temp
BR7-03134,2015-8-19 00:00:00,22.63452,21.8
BR7-04111,2015-8-19 00:00:00,21.30228,21.8
BR7-04112,2015-8-19 00:00:00,21.08244,21.8
BR7-04113,2015-8-19 00:00:00,20.99392,21.8
BR7-04114,2015-8-19 00:00:00,20.47148,21.8
BR7-04121,2015-8-19 00:00:00,20.80248,21.8
BR7-04122,2015-8-19 00:00:00,21.11972,21.8
BR7-04123,2015-8-19 00:00:00,20.99176,21.8
BR7-04124,2015-8-19 00:00:00,20.79708,21.8
BR7-04131,2015-8-19 00:00:00,21.03972,21.8
BR7-04132,2015-8-19 00:00:00,21.19356,21.8
BR7-04133,2015-8-19 00:00:00,20.9384,21.8
BR7-04134,2015-8-19 00:00:00,20.4798,21.8
BR7-05111,2015-8-19 00:00:00,21.3824,21.8
BR7-05112,2015-8-19 00:00:00,21.51076,21.8
BR7-05113,2015-8-19 00:00:00,21.12204,21.8
BR7-05114,2015-8-19 00:00:00,20.69284,21.8
BR7-05121,2015-8-19 00:00:00,21.133,21.8
BR7-05122,2015-8-19 00:00:00,21.00496,21.8
BR7-05123,2015-8-19 00:00:00,20.78936,21.8
BR7-05124,2015-8-19 00:00:00,20.75984,21.8
BR7-05131,2015-8-19 00:00:00,21.43244,21.8
BR7-05132,2015-8-19 00:00:00,21.56796,21.8
BR7-05133,2015-8-19 00:00:00,21.34612,21.8
BR7-05134,2015-8-19 00:00:00,21.02932,21.8
BR7-01111,2015-8-26 00:00:00,21.70232,23.33
BR7-01112,2015-8-26 00:00:00,23.26088,23.41133333
BR7-01113,2015-8-26 00:00:00,22.56268,23.492
BR7-01114,2015-8-26 00:00:00,23.53728,23.63110368
BR7-01121,2015-8-26 00:00:00,23.13192,23.36266667
BR7-01122,2015-8-26 00:00:00,23.05968,23.44733333
BR7-01123,2015-8-26 00:00:00,23.83152,23.54414716
BR7-01124,2015-8-26 00:00:00,23.90864,23.68595318
BR7-01131,2015-8-26 00:00:00,23.2856,23.35333333
BR7-01132,2015-8-26 00:00:00,22.50048,23.432
BR7-01133,2015-8-26 00:00:00,22.90216,23.52675585
BR7-01134,2015-8-26 00:00:00,23.474,23.66722408
BR7-02111,2015-8-26 00:00:00,23.00328,23.39133333
BR7-02112,2015-8-26 00:00:00,22.24332,23.47066667
BR7-02113,2015-8-26 00:00:00,23.10052,23.59230769
BR7-02114,2015-8-26 00:00:00,22.58448,23.73010033
BR7-02121,2015-8-26 00:00:00,22.77052,23.40133333
BR7-02122,2015-8-26 00:00:00,22.64384,23.48066667
BR7-02123,2015-8-26 00:00:00,23.88008,23.61237458
BR7-02124,2015-8-26 00:00:00,23.21324,23.75016722
BR7-02131,2015-8-26 00:00:00,22.53892,23.38733333
BR7-02132,2015-8-26 00:00:00,23.1442,23.466
BR7-02133,2015-8-26 00:00:00,22.9858,23.58428094
BR7-02134,2015-8-26 00:00:00,23.56268,23.72073579
BR7-03111,2015-8-26 00:00:00,22.12984,23.34866667
BR7-03112,2015-8-26 00:00:00,22.83568,23.42733333
BR7-03113,2015-8-26 00:00:00,22.44064,23.5173913
BR7-03114,2015-8-26 00:00:00,23.00188,23.65919732
BR7-03121,2015-8-26 00:00:00,22.88696,23.39733333
BR7-03122,2015-8-26 00:00:00,22.52428,23.47666667
BR7-03123,2015-8-26 00:00:00,24.46744,23.60167224
BR7-03124,2015-8-26 00:00:00,23.81144,23.74080268
BR7-03131,2015-8-26 00:00:00,23.381,23.406
BR7-03132,2015-8-26 00:00:00,22.70532,23.486
BR7-03133,2015-8-26 00:00:00,22.512,23.62173913
BR7-03134,2015-8-26 00:00:00,24.70572,23.75953177
BR7-04111,2015-8-26 00:00:00,22.17248,23.36933333
BR7-04112,2015-8-26 00:00:00,22.10992,23.45133333
BR7-04113,2015-8-26 00:00:00,22.28212,23.55618729
BR7-04114,2015-8-26 00:00:00,22.244,23.69397993
BR7-04121,2015-8-26 00:00:00,21.17228,23.342
BR7-04122,2015-8-26 00:00:00,21.93536,23.422
BR7-04123,2015-8-26 00:00:00,22.49236,23.50668896
BR7-04124,2015-8-26 00:00:00,22.17252,23.64983278
BR7-04131,2015-8-26 00:00:00,21.88148,23.382
BR7-04132,2015-8-26 00:00:00,21.58224,23.46133333
BR7-04133,2015-8-26 00:00:00,22.76948,23.57491639
BR7-04134,2015-8-26 00:00:00,21.87844,23.71270903
BR7-05111,2015-8-26 00:00:00,22.30868,23.33466667
BR7-05112,2015-8-26 00:00:00,21.71928,23.41733333
BR7-05113,2015-8-26 00:00:00,21.81408,23.49866667
BR7-05114,2015-8-26 00:00:00,22.07136,23.63913043
BR7-05121,2015-8-26 00:00:00,21.81132,23.376
BR7-05122,2015-8-26 00:00:00,21.47208,23.45666667
BR7-05123,2015-8-26 00:00:00,21.75956,23.56555184
BR7-05124,2015-8-26 00:00:00,22.03804,23.70334448
BR7-05131,2015-8-26 00:00:00,22.25904,23.358
BR7-05132,2015-8-26 00:00:00,21.83456,23.442
BR7-05133,2015-8-26 00:00:00,21.89828,23.53478261
BR7-05134,2015-8-26 00:00:00,22.57136,23.67658863
